Year,Province,Births,Deaths,Temporary Residents,Permanent Residents,Population,Population_age_0 to 3 years,Population_age_18 to 50 years,Population_age_4 to 17 years,Population_age_50 years and above,Men+,Women+,Full-time educators,Part-time educators,Students,Beds,Physician
2020,Yukon,446,311,2657,175,41958,1811,19857,6441,13846,21101,20857,549,147,5721,12,85
2021,Alberta,48117,31715,299321,39400,4431531,205958,2050748,773939,1399968,2233661,2197870,35253,5001,675504,10822,11085
2021,British Columbia,42952,45611,944000,69470,5226665,178573,2326648,711574,2008197,2591789,2634876,32745,7941,574047,12886,13540
2021,Canada,364503,319619,4943982,406045,38239864,1503472,16642235,5811447,14272106,19042795,19197069,332541,76800,4960410,98658,94119
2021,Manitoba,16700,11716,131385,16575,1391924,66997,614939,242213,467279,701972,689952,12372,1485,182535,4156,2996
2021,New Brunswick,6375,8231,57307,5315,790802,26137,308664,109292,346464,390565,400237,8007,285,99246,2607,2022
2021,Newfoundland and Labrador,3772,5948,29686,2050,527056,15459,201284,68852,241350,260460,266596,5136,357,63537,2275,1378
2021,Northwest Territories,547,306,1239,295,44579,2390,21511,8227,12450,22870,21709,1038,219,8475,176,53
2021,Nova Scotia,7805,10377,100760,9165,999908,33096,405992,134479,426004,492960,506948,10431,0,125124,3182,2736
2021,Nunavut,768,209,271,40,40086,3660,18747,11106,6573,20323,19763,813,12,10902,0,22
2021,Ontario,138492,119222,2248096,199275,14842488,569954,6550146,2224435,5493942,7356830,7485658,134409,21621,2028690,34396,34860
2021,Prince Edward Island,1393,1488,25859,2615,162133,5576,67542,23987,64979,79055,83078,1479,48,21063,572,344
2021,Quebec,83496,73359,1030587,50275,8572020,336605,3556485,1285056,3391608,4282656,4289364,79092,38520,982734,19648,22451
2021,Saskatchewan,13653,11074,72222,10950,1167711,57266,499073,211703,399175,588094,579617,10995,1176,182727,3984,2547
2021,Yukon,433,363,3244,595,42961,1801,20456,6584,14117,21560,21401,768,129,5829,12,85
